,dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,irradiation,weather_id,weather_main,weather_description,weather_icon
175320,1577836800,2020-01-01 00:00:00 +0000 UTC,19800,Gandikota,14.814927,78.286287,23.47,25.42,23.29,23.68,1014,,,83,2.77,112,,,,,67,803,Clouds,broken clouds,04n
175321,1577840400,2020-01-01 01:00:00 +0000 UTC,19800,Gandikota,14.814927,78.286287,23.41,25.44,23.32,23.63,1015,,,83,2.62,112,,,,,54,803,Clouds,broken clouds,04n
175322,1577844000,2020-01-01 02:00:00 +0000 UTC,19800,Gandikota,14.814927,78.286287,24.24,26.44,24.03,24.53,1015,,,81,2.67,106,,,,,94,804,Clouds,overcast clouds,04d
175323,1577847600,2020-01-01 03:00:00 +0000 UTC,19800,Gandikota,14.814927,78.286287,24.17,25.25,23.82,24.53,1017,,,83,4.5,114,,,,,100,804,Clouds,overcast clouds,04d
175324,1577851200,2020-01-01 04:00:00 +0000 UTC,19800,Gandikota,14.814927,78.286287,24.29,25.58,23.7,24.88,1017,,,84,4.43,118,,,,,99,804,Clouds,overcast clouds,04d
175325,1577854800,2020-01-01 05:00:00 +0000 UTC,19800,Gandikota,14.814927,78.286287,27.35,28.73,26.09,29.0,1016,,,66,3.6,90,,,,,20,721,Haze,haze,50d
175326,1577858400,2020-01-01 06:00:00 +0000 UTC,19800,Gandikota,14.814927,78.286287,28.79,30.86,27.89,29.5,1016,,,66,3.6,90,,,,,20,721,Haze,haze,50d
175327,1577862000,2020-01-01 07:00:00 +0000 UTC,19800,Gandikota,14.814927,78.286287,29.29,31.26,28.95,30.14,1015,,,66,4.1,100,,,,,20,721,Haze,haze,50d
175328,1577865600,2020-01-01 08:00:00 +0000 UTC,19800,Gandikota,14.814927,78.286287,31.02,30.47,30.66,31.58,1013,,,55,6.7,100,,,,,20,801,Clouds,few clouds,02d
175329,1577869200,2020-01-01 09:00:00 +0000 UTC,19800,Gandikota,14.814927,78.286287,31.23,31.12,31.0,31.78,1012,,,55,6.2,100,,,,,20,801,Clouds,few clouds,02d
175330,1577872800,2020-01-01 10:00:00 +0000 UTC,19800,Gandikota,14.814927,78.286287,30.96,30.03,30.55,31.27,1012,,,55,7.2,90,,,,,20,801,Clouds,few clouds,02d
175331,1577876400,2020-01-01 11:00:00 +0000 UTC,19800,Gandikota,14.814927,78.286287,30.77,30.45,30.44,31.0,1012,,,55,6.2,100,,,,,40,721,Haze,haze,50d
175332,1577880000,2020-01-01 12:00:00 +0000 UTC,19800,Gandikota,14.814927,78.286287,29.63,29.21,29.01,30.0,1013,,,58,6.2,90,,,,,40,721,Haze,haze,50d
175333,1577883600,2020-01-01 13:00:00 +0000 UTC,19800,Gandikota,14.814927,78.286287,29.1,28.45,28.49,30.0,1014,,,58,6.2,90,,,,,40,721,Haze,haze,50n
175334,1577887200,2020-01-01 14:00:00 +0000 UTC,19800,Gandikota,14.814927,78.286287,27.11,28.43,26.94,27.24,1015,,,74,4.88,93,0.22,,,,38,500,Rain,light rain,10n
175335,1577890800,2020-01-01 15:00:00 +0000 UTC,19800,Gandikota,14.814927,78.286287,25.9,27.52,25.64,26.0,1016,,,79,4.38,96,,,,,34,802,Clouds,scattered clouds,03n
175336,1577894400,2020-01-01 16:00:00 +0000 UTC,19800,Gandikota,14.814927,78.286287,25.8,27.64,25.49,25.93,1017,,,79,3.99,98,,,,,22,801,Clouds,few clouds,02n
